1.142,298
1.144,253
1.146,284
1.148,307
1.15,322
1.152,305
1.154,320
1.156,360
1.158,356
1.16,316
1.162,348
1.164,391
1.166,407
1.168,438
1.17,465
1.172,542
1.174,534
1.176,650
1.178,801
1.18,1010
1.182,1415
1.184,1943
1.186,2376
1.188,2625
1.19,2596
1.192,2445
1.194,2317
1.196,2640
1.198,3490
1.2,4944
1.202,6112
1.204,6618
1.206,5977
1.208,4637
1.21,3291
1.212,2272
1.214,1698
1.216,1187
1.218,966
1.22,797
1.222,674
1.224,674
1.226,641
1.228,581
1.23,585
1.232,606
1.234,653
1.236,626
1.238,649
1.24,821
1.242,1014
1.244,1394
1.246,2135
1.248,2835
1.25,3376
1.252,3251
1.254,2673
1.256,1962
1.258,1412
1.26,995
1.262,746
1.264,611
1.266,527
1.268,492
1.27,432
1.272,414
1.274,360
1.276,372
1.278,369
1.28,403
1.282,400
1.284,385
1.286,420
1.288,495
1.29,468
1.292,425
1.294,439
1.296,466
1.298,449
1.3,516
1.302,628
1.304,662
1.306,626
1.308,592
1.31,536
1.312,484
1.314,442
1.316,410
1.318,386
1.32,401
1.322,390
1.324,416
1.326,491
1.328,500
1.33,606
1.332,783
1.334,949
1.336,1266
1.338,1757
1.34,2309
1.342,2534
1.344,2436
1.346,2100
1.348,1524
1.35,1177
1.352,815
1.354,637
1.356,584
1.358,509
1.36,508
1.362,476
1.364,485
